NAME	VERSION	TYPE	ARCHITECTURE / FORMAT	HTTP(S)	.torrent	magnet:	IPFS	SIGNATURE	SOURCE	LAST_UPDATED	NOTES
Ubuntu Desktop LTS	22.04.3	OS	amd64 / iso	https://releases.ubuntu.com/22.04.2/ubuntu-22.04.3-desktop-amd64.iso	https://releases.ubuntu.com/22.04/ubuntu-22.04.3-desktop-amd64.iso.torrent	-	-	-	https://ubuntu.com/download/alternative-downloads	1699240500	Linux Desktop Distribution
Ubuntu Server LTS	22.04.3	OS	amd64 / iso	https://releases.ubuntu.com/22.04.2/ubuntu-22.04.3-live-server-amd64.iso	https://releases.ubuntu.com/22.04/ubuntu-22.04.3-live-server-amd64.iso.torrent	-	-	-	https://ubuntu.com/download/server#downloads	1699240500	Linux Server Distribution
Tails	5.19	OS	amd64 / iso	https://download.tails.net/tails/stable/tails-amd64-5.16/tails-amd64-5.19.iso	https://tails.net/torrents/files/tails-amd64-5.19.iso.torrent	-	-	-	https://tails.net/install/dvd/index.de.html	1699240500	Privacy-Focussed Distribution - LiveDVD Version
Tails	5.19	OS	amd64 / img	https://download.tails.net/tails/stable/tails-amd64-5.19/tails-amd64-5.19.img	https://tails.net/torrents/files/tails-amd64-5.19.img.torrent	-	-	-	https://tails.net/install/download/index.de.html	1699240500	Privacy-Focussed Distribution - LiveDVD Version
Tor Browser	13.0.5	GUI Software	amd64 / linux	https://www.torproject.org/dist/torbrowser/13.0.5/tor-browser-linux-x86_64-13.0.5.tar.xz	-	-	-	https://www.torproject.org/dist/torbrowser/13.0.5/tor-browser-linux64-13.0.5_ALL.tar.xz.asc	https://www.torproject.org/download/languages/	1701490500	Privacy-Focussed Webbrowser
Tor Browser	13.0.5	GUI Software	ix86 / linux	https://www.torproject.org/dist/torbrowser/13.0.5/tor-browser-linux32-13.0.5_ALL.tar.xz	-	-	-	https://www.torproject.org/dist/torbrowser/13.0.5/tor-browser-linux32-13.0.5_ALL.tar.xz.asc	https://www.torproject.org/download/languages/	1701490500	Privacy-Focussed Webbrowser
Tor Browser	13.0.5	GUI Software	amd64 / exe	https://dist.torproject.org/torbrowser/13.0.5/tor-browser-windows-x86_64-portable-13.0.5.exe	-	-	-	-	https://www.torproject.org/download/languages/	1701490500	Privacy-Focussed Webbrowser
Tor Browser	13.0.5	GUI Software	ix86 / exe	https://dist.torproject.org/torbrowser/13.0.5/tor-browser-windows-i686-portable-13.0.5.exe	-	-	-	-	https://www.torproject.org/download/languages/	1701490500	Privacy-Focussed Webbrowser
BunsenLabs Linux	Beryllium	OS	amd64 / iso	https://ddl.bunsenlabs.org/ddl/beryllium-1-amd64.hybrid.iso	https://ddl.bunsenlabs.org/ddl/beryllium-1-amd64.hybrid.iso.torrent	-	-	https://ddl.bunsenlabs.org/ddl/beryllium-1-amd64.hybrid.iso.asc	https://www.bunsenlabs.org/installation.html	1691694000	Lightweight Linux Distro
BunsenLabs Linux	Beryllium	OS	ix86 / iso	https://ddl.bunsenlabs.org/ddl/beryllium-1-i386.hybrid.iso	https://ddl.bunsenlabs.org/ddl/beryllium-1-i386.hybrid.iso.torrent	-	-	https://ddl.bunsenlabs.org/ddl/beryllium-1-amd64.hybrid.iso.asc	https://www.bunsenlabs.org/installation.html	1691694000	Lightweight Linux Distro
Oracle Linux	9.2	OS	amd64 / iso	https://yum.oracle.com/ISOS/OracleLinux/OL9/u2/x86_64/OracleLinux-R9-U2-x86_64-dvd.iso	-	-	-	-	https://yum.oracle.com/oracle-linux-isos.html	1692318500	Enterprise Linux Distribution - AMD64 + UEFI ISO
Oracle Linux	9.2	OS	arm64 / iso	https://yum.oracle.com/ISOS/OracleLinux/OL9/u2/aarch64/OracleLinux-R9-U2-aarch64-dvd.iso	-	-	-	-	https://yum.oracle.com/oracle-linux-isos.html	1692318500	Enterprise Linux Distribution - ARM64 + UEFI ISO
Oracle Linux	9.2	OS	rpi3 / img	https://www.oracle.com/linux/downloads/linux-arm-downloads.html#	-	-	-	-	https://www.oracle.com/linux/downloads/linux-arm-downloads.html	1692318500	Enterprise Linux Distribution - Raspberry Pi 3 & 4 SD Image
FreeBSD	13.2	OS	amd64 / iso	https://download.freebsd.org/releases/amd64/amd64/ISO-IMAGES/13.2/FreeBSD-13.2-RELEASE-amd64-dvd1.iso	-	-	-	-	https://www.freebsd.org/where/	1692318500	A rugged OpenSource Unix Distribution - AMD64 ISO
FreeBSD	13.2	OS	amd64 / img	https://download.freebsd.org/releases/amd64/amd64/ISO-IMAGES/13.2/FreeBSD-13.2-RELEASE-amd64-memstick.img	-	-	-	-	https://www.freebsd.org/where/	1692318500	A rugged OpenSource Unix Distribution - AMD64 USB Image
FreeBSD	13.2	OS	rpi3 / img	https://download.freebsd.org/releases/arm64/aarch64/ISO-IMAGES/13.2/FreeBSD-13.2-RELEASE-arm64-aarch64-RPI.img.xz	-	-	-	-	https://www.freebsd.org/where/	1692318500	A rugged OpenSource Unix Distribution - Raspberry Pi 3 & 4 SD Image
OpenBSD	7.3	OS	amd64 / iso	https://cdn.openbsd.org/pub/OpenBSD/7.3/amd64/install73.iso	-	-	-	-	https://www.openbsd.org/faq/faq4.html#Download	1692318500	Security-Focussed Unix Distribution - AMD64 ISO Image
OpenBSD	7.3	OS	amd64 / img	https://cdn.openbsd.org/pub/OpenBSD/7.3/amd64/install73.img	-	-	-	-	https://www.openbsd.org/faq/faq4.html#Download	1692318500	Security-Focussed Unix Distribution - AMD64 USB Image
NetBSD	9.3	OS	amd64 / iso	https://cdn.netbsd.org/pub/NetBSD/NetBSD-9.3/images/NetBSD-9.3-amd64.iso	-	-	-	-	https://wiki.netbsd.org/ports/amd64/	1692318500	A Network-Focussed Unix Distribution - AMD64 ISO Image
NetBSD	9.3	OS	amd64 / img	https://cdn.netbsd.org/pub/NetBSD/NetBSD-9.3/images/NetBSD-9.3-amd64-install.img.gz	-	-	-	-	https://wiki.netbsd.org/ports/amd64/	1692318500	A Network-Focussed Unix Distribution - AMD64 USB Image
DragonflyBSD	9.3	OS	amd64 / iso	https://mirror-master.dragonflybsd.org/iso-images/dfly-x86_64-6.4.0_REL.iso	-	-	-	-	https://www.dragonflybsd.org/download/	1692318500	A Unix Distribution optimized for Clustering - AMD64 ISO Image
DragonflyBSD	9.3	OS	amd64 / img	https://mirror-master.dragonflybsd.org/iso-images/dfly-x86_64-6.4.0_REL.img.bz2	-	-	-	-	https://www.dragonflybsd.org/download/	1692318500	A Unix Distribution optimized for Clustering - AMD64 USB Image
OpenSUSE Leap	15.5	OS	amd64 / iso	https://download.opensuse.org/distribution/leap/15.5/iso/openSUSE-Leap-15.5-DVD-x86_64-Media.iso	-	-	-	-	https://get.opensuse.org/leap/	1692318500	A stable Linux Distribution that is easy for Admins switching from Windows - AMD64 ISO Image
OpenSUSE Thumbleweed	daily	OS	amd64 / iso	https://download.opensuse.org/tumbleweed/iso/openSUSE-Tumbleweed-DVD-x86_64-Current.iso	-	-	-	-	https://get.opensuse.org/tumbleweed/#download	1692318500	A rolling release Linux Distribution based off OpenSUSE - AMD64 ISO Image
Debian	12.1.0	OS	amd64 / iso	https://cdimage.debian.org/debian-cd/current/amd64/iso-dvd/debian-12.1.0-amd64-DVD-1.iso	https://cdimage.debian.org/debian-cd/current/amd64/bt-dvd/debian-12.1.0-amd64-DVD-1.iso.torrent	-	-	-	https://www.debian.org/download	1692318500	A stable Linux Distribution that is lightweight yet customizeable
Debian	12.1.0	OS	ix86 / iso	https://cdimage.debian.org/debian-cd/current/i386/iso-dvd/debian-12.1.0-i386-DVD-1.iso	https://cdimage.debian.org/debian-cd/current/i386/bt-dvd/debian-12.1.0-i386-DVD-1.iso.torrent	-	-	-	https://www.debian.org/download	1692318500	A stable Linux Distribution that is lightweight yet customizeable
Firefox	latest ESR	Browser	ix86 / exe	https://download.mozilla.org/?product=firefox-esr-latest&os=win&lang=en-US	-	-	-	-	https://ftp.mozilla.org/pub/firefox/releases/latest-esr/README.txt	1701490500	automatic URL for downloading the lastest Firefox ESR for Windows [EN-US] - 32bit
Firefox	latest ESR	Browser	amd64 / exe	https://download.mozilla.org/?product=firefox-esr-latest&os=win64&lang=en-US	-	-	-	-	https://ftp.mozilla.org/pub/firefox/releases/latest-esr/README.txt	1701490500	automatic URL for downloading the lastest Firefox ESR for Windows [EN-US] - 64bit
Thunderbird	latest 	eMail Client	ix86 / exe	https://download.mozilla.org/?product=thunderbird-latest&os=win&lang=en-US	-	-	-	-	https://ftp.mozilla.org/pub/thunderbird/releases/latest/README.txt	1701490500	automatic URL for downloading the lastest Thunderbird for Windows [EN-US] - 32bit
Thunderbird	latest 	eMail Client	amd64 / exe	https://download.mozilla.org/?product=thunderbird-latest&os=win64&lang=en-US	-	-	-	-	https://ftp.mozilla.org/pub/thunderbird/releases/latest/README.txt	1701490500	automatic URL for downloading the lastest Thunderbird for Windows [EN-US] - 64bit
