DNS	PROVIDER	LOCATION	IPv4	IPv6	NTS	TYPE	WEBSITE	COMMENT
ptbtime1.ptb.de	PTB	Braunschweig, Germany	192.53.103.108	2001:638:610:bd02::12 	YES	SINGLE	https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html	Official Timeserver for Germany, run by PTB
ptbtime2.ptb.de	PTB	Braunschweig, Germany	192.53.103.104	2001:638:610:bd02::12 	YES	SINGLE	https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html	Official Timeserver for Germany, run by PTB
ptbtime3.ptb.de	PTB	Braunschweig, Germany	192.53.103.103	2001:638:610:bd02::12 	YES	SINGLE	https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html	Official Timeserver for Germany, run by PTB
ptbtime4.ptb.de	PTB	-undisclosed location-, Germany	194.94.95.123	2001:638:610:cecf::7b	YES	SINGLE	https://www.ptb.de/cms/ptb/fachabteilungen/abtq/gruppe-q4/ref-q42/zeitsynchronisation-von-rechnern-mit-hilfe-des-network-time-protocol-ntp.html	Official Timeserver for Germany, run by PTB
time.nist.gov	NIST	Anycast			UNKNOWN	POOL	https://labs.ripe.net/author/christer-weinigel/best-practices-for-connecting-to-ntp-servers/	Official Timeserver for USA, run by NIST - Anycast.
time-a-g.nist.gov	NIST	Gaithersburg, USA	129.6.15.28	2610:20:6005:13::49	UNKNOWN	SINGLE	https://tf.nist.gov/tf-cgi/servers.cgi	Official Timeserver for USA, run by NIST - Primary Site.
time-a-b.nist.gov	NIST	Boulder, USA	132.163.96.1	2610:20:6005:13::49	UNKNOWN	SINGLE	https://tf.nist.gov/tf-cgi/servers.cgi	Official Timeserver for USA, run by NIST - Secondary Site.
ntp.nict.jp	NICT	Tokyo, Japan	133.243.238.244		UNKNOWN	SINGLE	https://jjy.nict.go.jp/tsp/PubNtp/index-e.html	Official Timeserver for Japan. Run by the NICT.
ntp.ripe.net	RIPE NCC	Amsterdam, Netherlands	193.0.0.229	2001:67c:2e8:22::c100:68b	UNKNOWN	SINGLE		Timeserver used by RIPE NCC for their infrastructure.
pool.ntp.org	NTP Pool Project	Anycast			UNKNOWN	POOL	https://www.pool.ntp.org/zone/de	NTP Pool Project - Anycast Server.
0.pool.ntp.org	NTP Pool Project	Anycast			UNKNOWN	POOL	https://www.pool.ntp.org/zone/de	NTP Pool Project - Primary Anycast Server.
1.pool.ntp.org	NTP Pool Project	Anycast			UNKNOWN	POOL	https://www.pool.ntp.org/zone/de	NTP Pool Project - Secondary Anycast Server.
0.de.pool.ntp.org	NTP Pool Project	Kassel, Germany	195.201.20.16	2001:1838:2000:41b::80:0	UNKNOWN	SINGLE	https://www.pool.ntp.org/zone/de	NTP Pool Project - Primary Anycast Server for Germany.
1.de.pool.ntp.org	NTP Pool Project	Bielefeld, Germany	129.70.132.32	2001:1838:2000:41b::80:0	UNKNOWN	SINGLE	https://www.pool.ntp.org/zone/de	NTP Pool Project - Secondary Anycast Server for Germany.
2.de.pool.ntp.org	NTP Pool Project	Oldenburg, Germany	185.120.22.14	2001:1838:2000:41b::80:0	UNKNOWN	SINGLE	https://www.pool.ntp.org/zone/de	NTP Pool Project - Tetriary Anycast Server for Germany
3.de.pool.ntp.org	NTP Pool Project	Saarbrücken,Germany	136.243.66.91	2001:1838:2000:41b::80:0	UNKNOWN	SINGLE	https://www.pool.ntp.org/zone/de	NTP Pool Project - Quartary Anycast Server for Germany
nts.ntp.se 	NetNod	Anycast			YES	POOL	https://www.netnod.se/blog/everything-you-need-know-about-network-time-security	NedNod's Time Server from Sweden - Anycast.
nts.sth1.ntp.se	NetNod	Stockholm, Sweden	194.58.202.210	2a01:3f7::1	YES	SINGLE	https://www.netnod.se/blog/everything-you-need-know-about-network-time-security	NedNod's Primary NTP Server - Anycast, Stockholm, Sweden.
nts.sth2.ntp.se	NetNod	Stockholm, Sweden	194.58.202.218	2a01:3f7::1	YES	SINGLE	https://www.netnod.se/blog/everything-you-need-know-about-network-time-security	NedNod's Secondary NTP Server - Anycast, Stockholm, Sweden.
time.esa.int	esa	Anycast			UNKNOWN	POOL	https://microwavelaboratory.com/portfolio-item/utc-coordinated-universal-time/	ESA's official NTP Server - Anycast Pool from within the EU.
time1.esa.int	esa	Kassel, Germany	131.176.107.13		UNKNOWN	SINGLE	https://www.ip-tracker.org/lookup.php?ip=time.esa.int	Primary NTP Server by ESA. Used if multiple adresses are required.
ntp.time.nl	SIDN Labs	Anycast			UNKNOWN	POOL	https://time.nl/index_en.html	SIDN Labs' NTP Server Pool from the Netherlands.
ntp1.dismail.de	dismail.de	???	116.203.17.238	2a01:4f8:1c0c:4339::123	UNKNOWN	SINGLE	https://dismail.de/info.html#ntp	Primary NTP Server by dismail.de
ntp2.dismail.de	dismail.de	???	80.241.218.68	2a02:c205:3001:4558::1	UNKNOWN	SINGLE	https://dismail.de/info.html#ntp	Secondary NTP Server by dismail.de
ntp3.dismail.de	dismail.de	???	78.46.223.134 	2a01:4f8:c17:e5e::2	UNKNOWN	SINGLE	https://dismail.de/info.html#ntp	Tetriary NTP Server by dismail.de
