NAME	ONIONv3	TYPE	SOURCE	TRUST	STATUS	LAST_CHECK	COMMENT
oshi.at	http://5ety7tpkim5me6eszuwcje7bmy25pbtrjtue7zkqqgziljwqy3rrikqd.onion	Filehoster	https://oshi.at/onion	VERIFIED	ONLINE	1644955200	Supports CLI via curl
DuckDuckGo	https://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion/	Search Engine	https://support.torproject.org/onionservices/#onionservices-1	UNVERIFIED	ONLINE	1644955200	Efficient Search Engine
DW News	https://dwnewsgngmhlplxy6o2twtfgjnrnjxbegbwqx6wnotdhkzt562tszfid.onion/	Media	https://community.torproject.org/onion-services/	UNVERIFIED	ONLINE	1644955200	News Site
Freedom of the Press Foundation	http://fpfjxcrmw437h6z2xl3w4czl55kvkmxpapg37bbopsafdu7q454byxid.onion/	Non-Profit	https://community.torproject.org/onion-services/	UNVERIFIED	ONLINE	1644955200	Press Freedom Advocacy Group
RiseUp	http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/	Communication Platform	https://community.torproject.org/onion-services/	UNVERIFIED	ONLINE	1644955200	Provides Communication Infrastructure
OnionShare	http://lldan5gahapx5k7iafb3s4ikijc4ni7gx5iywdflkba5y2ezyg6sjgyd.onion/	Software	https://onionshare.org/onion.txt	VERIFIED	ONLINE	1644955200	Easy-to-use Ffilesharing/Chat/Webhosting suite
LocalMonero	http://nehdddktmhvqklsnkjqcbpmb63htee2iznpcbs5tgzctipxykpj6yrid.onion/	Crypto Exchange	https://localmonero.co	UNVERIFIED	ONLINE	1644955200	Decentralized Trading Platform based off Classifieds by Traders
Feather Wallet	http://featherdvtpi7ckdbkb2yxjfwx3oyvr3xjz3oo4rszylfzjdg6pbm3id.onion/	Software	https://featherwallet.org/	UNVERIFIED	ONLINE	1644955200	Monero Desktop Wallet App
onion.torproject.org	http://xao2lxsmia2edq2n5zxg6uahx6xox2t7bfjw6b5vdzsxi7ezmqob6qid.onion/	Non-Profit	https://onion.torproject.org/	VERIFIED	ONLINE	1645551400	Lists all Onion Services of the Tor Project
GetTor	http://ueghr2hzndecdntou33mhymbbxj7pir74nwzhqr6drhxpbz3j272p4id.onion/	Software	https://onion.torproject.org/	VERIFIED	ONLINE	1645551400	Alternative Download Service [request via eMail] for Tor Browser
Tor User Survey	http://eh5esdnd6fkbkapfc6nuyvkjgbtnzq2is72lmpwbdbxepd2z7zbgzsqd.onion/	Non-Profit	https://onion.torproject.org/	VERIFIED	ONLINE	1645551400	Surveys targeting Tor Users
Tor Project	http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/	Software	https://onion.torproject.org/	VERIFIED	ONLINE	1645551400	The Onion Router – Website
Tor Onion Services	http://xao2lxsmia2edq2n5zxg6uahx6xox2t7bfjw6b5vdzsxi7ezmqob6qid.onion/	Software	https://support.torproject.org/onionservices/#onionservices-4	VERIFIED	ONLINE	1645551400	List of .onion sites operated by the Tor Project
community.torproject.org	http://xmrhfasfg5suueegrnc4gsgyi2tyclcy5oz7f5drnrodmdtob6t2ioyd.onion/	Software	https://onion.torproject.org/	VERIFIED	ONLINE	1645551400	Community & FAQ for Tor, The Tor Browser and Network
Bisq Wiki	http://s3p666he6q6djb6u3ekjdkmoyd77w63zq6gqf6sde54yg6bdfqukz2qd.onion	Software	https://bisq.wiki/	UNVERIFIED	ONLINE	1645551400	Wiki for bisq.network
mstdn.social	https://c6usaa6obkiahck7rkn2phbffb3strd375pfpxmawuexnmectjizyjad.onion/about	Social Network	https://mstdn.social/about/more#tor	VERIFIED	ONLINE	1634924400	Mastodon Instance – Uses same SSL cert as the surface web version
mstdn.social	https://c6usaa6obkiahck7rkn2phbffb3strd375pfpxmawuexnmectjizyjad.onion	Social Network	https://mstdn.social/@stux/108449975956852433	VERIFIED	ONLINE	1647220000	Mastodon Instance – Uses same SSL cert as the surface web version
Twitter	https://twitter3e4tixl4xyajtrzo62zg5vztmjuricljdp2c5kshju4avyoid.onion	Social Network	https://help.twitter.com/en/using-twitter/twitter-supported-browsers	VERIFIED	ONLINE	1646771500	Official Site
Keybase	http://keybase5wmilwokqirssclfnsqrjdsi7jdir5wy7y7iu3tanwmtp6oid.onion	Software	https://keybase.io/	VERIFIED	ONLINE	1647220000	Social Media Account & GnuPG Pubkey Verification Site
